Area [mm2]:  28812.5
Equivalent area diameter [mm]:  191.533846572
Center of mass [pixel]:  314 , 199
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        118.7937,                               
  0.049087,      2.812,        118.9370,                               
  0.098175,      5.625,        119.3686,                               
  0.147262,      8.438,        120.0937,                               
  0.196350,     11.250,        121.1212,                               
  0.245437,     14.062,        122.4640,                               
  0.294524,     16.875,        124.1394,                               
  0.343612,     19.687,        126.1694,                               
  0.392699,     22.500,        128.5818,                               
  0.441786,     25.312,        131.4110,                               
  0.490874,     28.125,        127.5003,                               
  0.539961,     30.937,        116.9093,                               
  0.589049,     33.750,        108.1836,                               
  0.638136,     36.562,        100.8961,                               
  0.687223,     39.375,         94.7422,                               
  0.736311,     42.187,         89.4991,                               
  0.785398,     45.000,         85.0000,                               
  0.834486,     47.812,         81.1176,                               
  0.883573,     50.625,         77.7534,                               
  0.932660,     53.438,         74.8304,                               
  0.981748,     56.250,         72.2869,                               
  1.030835,     59.062,         70.0740,                               
  1.079922,     61.875,         68.1518,                               
  1.129010,     64.687,         66.4881,                               
  1.178097,     67.500,         65.0568,                               
  1.227185,     70.312,         63.8363,                               
  1.276272,     73.125,         62.8093,                               
  1.325359,     75.937,         61.9617,                               
  1.374447,     78.750,         61.2823,                               
  1.423534,     81.562,         60.7625,                               
  1.472622,     84.375,         60.3957,                               
  1.521709,     87.188,         60.1775,                               
  1.570796,     90.000,         60.1050,                               
  1.619884,     92.812,         60.1775,                               
  1.668971,     95.625,         60.3959,                               
  1.718058,     98.437,         60.7628,                               
  1.767146,    101.250,         61.2827,                               
  1.816233,    104.062,         61.9622,                               
  1.865321,    106.875,         62.8099,                               
  1.914408,    109.687,         63.8370,                               
  1.963495,    112.500,         65.0576,                               
  2.012583,    115.312,         66.4891,                               
  2.061670,    118.125,         68.1529,                               
  2.110758,    120.937,         70.0753,                               
  2.159845,    123.750,         72.2885,                               
  2.208932,    126.562,         74.8321,                               
  2.258020,    129.375,         77.7555,                               
  2.307107,    132.188,         81.1199,                               
  2.356194,    135.000,         85.0027,                               
  2.405282,    137.812,         89.4993,                               
  2.454369,    140.625,         94.7382,                               
  2.503457,    143.437,        100.8867,                               
  2.552544,    146.250,        108.1673,                               
  2.601631,    149.062,        116.8840,                               
  2.650719,    151.875,        127.7004,                               
  2.699806,    154.688,        133.8196,                               
  2.748893,    157.500,        130.8783,                               
  2.797981,    160.312,        128.4227,                               
  2.847068,    163.125,        126.3563,                               
  2.896156,    165.938,        124.6509,                               
  2.945243,    168.750,        123.2841,                               
  2.994330,    171.562,        122.2382,                               
  3.043418,    174.375,        121.5002,                               
  3.092505,    177.187,        121.0609,                               
  3.141593,    180.000,        120.9150,                               
  3.190680,    182.812,        121.0607,                               
  3.239767,    185.625,        121.4999,                               
  3.288855,    188.437,        122.2383,                               
  3.337942,    191.250,        123.2850,                               
  3.387030,    194.062,        124.6526,                               
  3.436117,    196.875,        126.3587,                               
  3.485204,    199.688,        128.4151,                               
  3.534292,    202.500,        130.8927,                               
  3.583379,    205.312,        133.6019,                               
  3.632467,    208.125,        127.4350,                               
  3.681554,    210.937,        116.8556,                               
  3.730641,    213.750,        108.1386,                               
  3.779729,    216.562,        100.8580,                               
  3.828816,    219.375,         94.7096,                               
  3.877903,    222.187,         89.4710,                               
  3.926991,    225.000,         84.9755,                               
  3.976078,    227.812,         81.0961,                               
  4.025166,    230.625,         77.7346,                               
  4.074253,    233.438,         74.8138,                               
  4.123340,    236.250,         72.2723,                               
  4.172428,    239.062,         70.0610,                               
  4.221515,    241.875,         68.1403,                               
  4.270603,    244.688,         66.4780,                               
  4.319690,    247.500,         65.0478,                               
  4.368777,    250.312,         63.8284,                               
  4.417865,    253.125,         62.8024,                               
  4.466952,    255.937,         61.9558,                               
  4.516039,    258.750,         61.2773,                               
  4.565127,    261.562,         60.7583,                               
  4.614214,    264.375,         60.3923,                               
  4.663301,    267.187,         60.1748,                               
  4.712389,    270.000,         60.1032,                               
  4.761477,    272.812,         60.1764,                               
  4.810564,    275.625,         60.3956,                               
  4.859651,    278.437,         60.7633,                               
  4.908739,    281.250,         61.2840,                               
  4.957826,    284.062,         61.9643,                               
  5.006913,    286.875,         62.8128,                               
  5.056001,    289.688,         63.8409,                               
  5.105088,    292.500,         65.0626,                               
  5.154175,    295.312,         66.4952,                               
  5.203263,    298.125,         68.1602,                               
  5.252350,    300.938,         70.0839,                               
  5.301437,    303.750,         72.2987,                               
  5.350525,    306.562,         74.8441,                               
  5.399612,    309.375,         77.7695,                               
  5.448700,    312.188,         81.1363,                               
  5.497787,    315.000,         85.0200,                               
  5.546875,    317.812,         89.5140,                               
  5.595962,    320.625,         94.7506,                               
  5.645049,    323.437,        100.8961,                               
  5.694137,    326.250,        108.1728,                               
  5.743224,    329.062,        116.8842,                               
  5.792312,    331.875,        127.6754,                               
  5.841399,    334.687,        131.4376,                               
  5.890486,    337.500,        128.5848,                               
  5.939574,    340.312,        126.1710,                               
  5.988661,    343.125,        124.1398,                               
  6.037748,    345.937,        122.4636,                               
  6.086836,    348.750,        121.1208,                               
  6.135923,    351.562,        120.0934,                               
  6.185010,    354.375,        119.3684,                               
  6.234098,    357.187,        118.9369,                               
