Area [mm2]:  28812.5
Equivalent area diameter [mm]:  191.533846572
Center of mass [pixel]:  314 , 199
Radians   , Degrees   , Radius (mm)    , Comments                      
  0.000000,      0.000,        120.2061,                               
  0.049087,      2.812,        120.3550,                               
  0.098175,      5.625,        120.7956,                               
  0.147262,      8.438,        121.5333,                               
  0.196350,     11.250,        122.5772,                               
  0.245437,     14.062,        123.9395,                               
  0.294524,     16.875,        125.6262,                               
  0.343612,     19.687,        127.6713,                               
  0.392699,     22.500,        130.1026,                               
  0.441786,     25.312,        133.0453,                               
  0.490874,     28.125,        129.0810,                               
  0.539961,     30.937,        118.2799,                               
  0.589049,     33.750,        109.4508,                               
  0.638136,     36.562,        102.0770,                               
  0.687223,     39.375,         95.8504,                               
  0.736311,     42.187,         90.5454,                               
  0.785398,     45.000,         85.9932,                               
  0.834486,     47.812,         82.0660,                               
  0.883573,     50.625,         78.6631,                               
  0.932660,     53.438,         75.7063,                               
  0.981748,     56.250,         73.1335,                               
  1.030835,     59.062,         70.8951,                               
  1.079922,     61.875,         68.9508,                               
  1.129010,     64.687,         67.2679,                               
  1.178097,     67.500,         65.8201,                               
  1.227185,     70.312,         64.5856,                               
  1.276272,     73.125,         63.5468,                               
  1.325359,     75.937,         62.6896,                               
  1.374447,     78.750,         62.0025,                               
  1.423534,     81.562,         61.4769,                               
  1.472622,     84.375,         61.1060,                               
  1.521709,     87.188,         60.8854,                               
  1.570796,     90.000,         60.8124,                               
  1.619884,     92.812,         60.8860,                               
  1.668971,     95.625,         61.1072,                               
  1.718058,     98.437,         61.4787,                               
  1.767146,    101.250,         62.0050,                               
  1.816233,    104.062,         62.6927,                               
  1.865321,    106.875,         63.5507,                               
  1.914408,    109.687,         64.5902,                               
  1.963495,    112.500,         65.8255,                               
  2.012583,    115.312,         67.2743,                               
  2.061670,    118.125,         68.9581,                               
  2.110758,    120.937,         70.9035,                               
  2.159845,    123.750,         73.1433,                               
  2.208932,    126.562,         75.7175,                               
  2.258020,    129.375,         78.6760,                               
  2.307107,    132.188,         82.0808,                               
  2.356194,    135.000,         86.0102,                               
  2.405282,    137.812,         90.5640,                               
  2.454369,    140.625,         95.8707,                               
  2.503457,    143.437,        102.0994,                               
  2.552544,    146.250,        109.4757,                               
  2.601631,    149.062,        118.3080,                               
  2.650719,    151.875,        129.0287,                               
  2.699806,    154.688,        131.8970,                               
  2.748893,    157.500,        129.4845,                               
  2.797981,    160.312,        126.9346,                               
  2.847068,    163.125,        124.8554,                               
  2.896156,    165.938,        123.1798,                               
  2.945243,    168.750,        121.8383,                               
  2.994330,    171.562,        120.8131,                               
  3.043418,    174.375,        120.0834,                               
  3.092505,    177.187,        119.6485,                               
  3.141593,    180.000,        119.5036,                               
  3.190680,    182.812,        119.6470,                               
  3.239767,    185.625,        120.0803,                               
  3.288855,    188.437,        120.8088,                               
  3.337942,    191.250,        121.8416,                               
  3.387030,    194.062,        123.1916,                               
  3.436117,    196.875,        124.8762,                               
  3.485204,    199.688,        126.9175,                               
  3.534292,    202.500,        129.3443,                               
  3.583379,    205.312,        132.2184,                               
  3.632467,    208.125,        126.0551,                               
  3.681554,    210.937,        115.5259,                               
  3.730641,    213.750,        106.9057,                               
  3.779729,    216.562,         99.7062,                               
  3.828816,    219.375,         93.6265,                               
  3.877903,    222.187,         88.4465,                               
  3.926991,    225.000,         84.0010,                               
  3.976078,    227.812,         80.1641,                               
  4.025166,    230.625,         76.8394,                               
  4.074253,    233.438,         73.9505,                               
  4.123340,    236.250,         71.4369,                               
  4.172428,    239.062,         69.2498,                               
  4.221515,    241.875,         67.3501,                               
  4.270603,    244.688,         65.7060,                               
  4.319690,    247.500,         64.2914,                               
  4.368777,    250.312,         63.0852,                               
  4.417865,    253.125,         62.0702,                               
  4.466952,    255.937,         61.2325,                               
  4.516039,    258.750,         60.5611,                               
  4.565127,    261.562,         60.0473,                               
  4.614214,    264.375,         59.6848,                               
  4.663301,    267.187,         59.4690,                               
  4.712389,    270.000,         59.3973,                               
  4.761477,    272.812,         59.4689,                               
  4.810564,    275.625,         59.6847,                               
  4.859651,    278.437,         60.0472,                               
  4.908739,    281.250,         60.5609,                               
  4.957826,    284.062,         61.2323,                               
  5.006913,    286.875,         62.0699,                               
  5.056001,    289.688,         63.0849,                               
  5.105088,    292.500,         64.2910,                               
  5.154175,    295.312,         65.7056,                               
  5.203263,    298.125,         67.3497,                               
  5.252350,    300.938,         69.2493,                               
  5.301437,    303.750,         71.4363,                               
  5.350525,    306.562,         73.9498,                               
  5.399612,    309.375,         76.8386,                               
  5.448700,    312.188,         80.1632,                               
  5.497787,    315.000,         84.0000,                               
  5.546875,    317.812,         88.4463,                               
  5.595962,    320.625,         93.6279,                               
  5.645049,    323.437,         99.7094,                               
  5.694137,    326.250,        106.9114,                               
  5.743224,    329.062,        115.5347,                               
  5.792312,    331.875,        126.0014,                               
  5.841399,    334.687,        132.9313,                               
  5.890486,    337.500,        130.0745,                               
  5.939574,    340.312,        127.6389,                               
  5.988661,    343.125,        125.5898,                               
  6.037748,    345.937,        123.8993,                               
  6.086836,    348.750,        122.5449,                               
  6.135923,    351.562,        121.5095,                               
  6.185010,    354.375,        120.7799,                               
  6.234098,    357.187,        120.3472,                               
